question,answer
Why does Zebras have stripes?,this provides camouflage - predator vision is such that it is usually difficult for them to see complex patterns
Do animals have a sense of humour?,"Dogs don't think that way. You're projecting human thought patterns and behaviours onto animals, and that's simply not how their mind works. I read a great article about a month ago (I forget where) about an animal psychologist talking about this sort of thing, how a lot of problems with pets are caused by thinking about them in human terms. For example, one woman's dog started causing havok when she got a full-time job and left him home in the house. She thought he was angry at her, but that's not something dogs could even comprehend. No, it was rather that the dog was simply very confused and didn't understand what was going on, and figuring this out saved the dog from having to be put down (he almost bit someone).\n\nBasically, no. Chimpanzees and other such evolutionary cousins might, but your common house pets cannot think that way."
Is the universe flat?,"Yes, the Universe is flat. It's a VERY difficult thing for most people to wrap their head around. You're Correct.\nJust because you see a round ball, does not necessitate the ball being round. I think the real question is...""Why can't we see it"" Einstein said that Reality is a thin, yet persistant veil. Good Luck."
What is the U.S. Green card procedure after labor certificate approval and how much time it will take?,"This depends mainly on which state you are . Usually the more immigrants like Texas, California , Florida could take 7 to 15 months. Other states with few cases could be shorter. If you've got the labor permit I believe you are more than halfway in the process, once you start the i485 ( not sure if the correct number) you are done , just a matter of wait. The more  important document you need in this stage is the travel document or travel parole that is only valid for one year and take slike two months to renew so you need to apply every 10 months. with thia paper you are free to move outside of the US and comeback. You do not need a visa anymore just wait until your residence card is ready."
motor vehicle agencys in central newjersey?,"rt 35 by the monmouth mall, across the street form the jeep dealer ship"
WHY MOST OF THE CANCER TYPES MAKE METASTASIS IN BONE?,"Some cancers are more prone to metastasis to the bones than others.  Blood supply is an issue in transporting the cells, but the chemical environment of the bones also plays a part.  See the references below:"
why is the sky blue?,It's because sunlight striking air molecules is scattered in all directions.
I am a foreignerin the US. Can I temporarily drive with my foreign license or do I need some documentation?,"If you are in the United States visiting, most states will recognize the license of your parent country.  A non-resident student may also drive on an out-of-state or foreign license.  Many states require that you carry a passport in addition to your license for it to be valid.\n\nIf you are establishing residence in the United States, each state has a limit on the amount of time you have to get a license.  For instance, in Georgia, a new resident has 30 days to obtain a license."
how often does the president visit Bethesda Naval hospital?,"Whenever a full routine checkup is scheduled. \n\nRegular or emergency treatments are also available, for instance Bill Clinton visited in 1996 after multiple cocaine overdoses and was informed that his nasal septum would be destroyed with further use."
What body of water does the Yukon River empty into?,"It flows North (odd, huh?), so it empties into the Bering Sea."
