label,text
1,Unfortunately I had to return the Blue Ant because I couldn't charge it without the cycle turning itself off. The size & fit were good; it just wouldn't take a charge.
2,"...but a very good pick anyway! As usual Don Caballero manage to hover miles above the average indie-record. This time tough the music is less aggressive, the drumming less furious and the pace is overall calmer. Don't get me wrong, they haven't limped, they still spark with energy and creativity, only the've become more ""mature"". For those who don't know anything about the band I'll just say that they find themselves between shellac and tortoise, between arty improvisation (which most people call post-rock) and noise-rock."
2,"Bayard is not Dickens, but his characters and plot propelled me around Victorian London. As a character, Mr. Timothy is drawn with a complexity that defies prediction of his actions. The two children he partners with feel true, with the charm and courage that Dickens gave the children he wrote about. One cares what happens to all of them, and I assure you, much does happen. I found myself savoring the last few chapters, dreading that time when I would reach the back cover and part company with this fascinating group."
1,"I'm used to better quality mysteries.....just wanted to read a ""classic"" and I wasn't impressed. It was worth reading, I suppose, but I won't read it again..."
2,"To Pearl Jam Lion, I really don't appreciate being threanted withmy life because I like a particular artist, or a different typeof music that is obviously not the music you enjoy.It is peoplesuch as yourself that help make this a more freightening planet.So I have forwared your ""review"" to the Center for Hate Crimes asa possible person to watch. I also forwared it to the Center forPeople with Eratic and unusual Behavior. There is also an agencyfor terroristic threats by person or by proxy, especially overthe internet. So I am glad you got printed and you have yourselfa nice little day."
1,"It is unbelievable that Larry Carlton could churn out such an album that is bereft of ideas and imagination.This album has plenty of sound but no music; sort of ""talk a lot but say nothing"". The performance is uninspired and lifeless and the music (I mean sound) is dreadfully tedious. The only good thing that I can say about this album is that it has a great album cover and excellent sound for testing hi-fi systems. But, I'm sure we Larry carlton fans do not buy his albums for such things. If there is one Larry Carlton album that you should avoid, this is the one. I can't think of any other album he has done which is as bad as this one. If you expect some magical moments like we always use to when we listen to some of his other albums, forget it.The next time I see Paul Brown's name on Larry's new album, I'll pass."
2,"I'm an avid fan of biblical historical fiction...I love the way she brings this story to life and keeps you in suspense. Details are clear and accurate....beyond that, you're drawn immediately into the story, the character's thoughts/emotions/motivations/lives, and hoping they choose to follow God. My biggest acclaim for a book in this genre is having read it that i find myself loving my God even more, seeking harder after Him, understanding just a little more, and wanting more of Him! My faith is encouraged! Definitely recommend!"
1,OUR TEACHER MRS GREEN MADE US READ IT AND WE HAD TO DO A BOOK REPORT ABOUT IT!IT SUCKS!!!!!!!!
1,"This film is nothing more that a cheap horror film. It's premise, using computer software to control ones mind is a weak plot line which, considering it is the central theme, could have been presented in a fashion that might have been semi-believeable. I don't know which would be worse, being controlled by the games in the movie, or having to sit through it."
2,"This is a really fun toy for kids when traveling. Both of my kids (10 & 13) had fun playing with it, and I recommended it to my parents who got one as well. It will keep kids amused for a good long time, and it makes them really think about a certain object. Good fun!"
2,This movie is very entertaining to both adults and children. It is a fun and witty movie that you can watch again and again and still have a good time with! I would highly reccomend getting the video
1,"Incredibly uninteresting film with characters you don't care about, a nondescript and swelling music score that all but drowns out whatever mumbled diagloue there is, and a computer-game feel to the aerial sequences. Really tedious. If you want to watch a movie about aviators in World War I, watch ""The Dawn Patrol"" with Errol Flynn and David Niven."
2,"This product was suggested to help with low thyroid--and ""cold body syndrome"" which is related to low thyroid.My morning temperature was often 96 degrees or lower. Within one half hour of taking this guggul, my temperature was up to 97 or 98 and stayed there for about 4 hours. Increased metabolism is giving me more energy and I am losing weight.This brand seems to be working better than the other brand I took for a while."
2,"If you are interested in Renaissance Italy, gender studies, or the history of the Christian Church, this book is for you. This book presents the story of an ambitious abbess on the road to sainthood a la Catherine of Siena and her fall from grace as she becomes too powerful for the comfort of her male collegues. It is the story of the making and unmaking of a saint. This is one of my favorite books of all time."
2,"Daz, Kurupt, and Snoop put out a pretty impressive album which starts out great with the self named track Cali Iz Active. After that the lyricism and delvery is pretty good but not the best it could be. This album is still very impressive though with some great beats and appearances by some of the best in the business. Overall this album is better than Young Joc and his attempt at rap or other wannabe rappers from the ATL. This album is definitely worth your money."
2,I am a big fan of Clay and once again I say the producers of American Idol made a big mistake...Clays single was great but this is 100 times better....defientley one of the best CD's of 2003! Every Track is great..My Fav's: Every Track!!
