,names,products#,marked as helpful,marked as funny,post_date,Recommend?,times on record,review
0,Zastier,678,"2,003",32,"September 14, 2017",Recommended,33.4,"Let's see: -Game releases in Early Access with a lot of promise -As it does Larian constantly outdo them selves with updates -They vastly increase the complexity of the AI -Improve the progression in several ways -Give us two well developed and deep extra skill trees -Create a truly grand undead race with interesting mechanics -AGAINST ALL ODD include full voice acting for a game with the amount of dialogue -And include a fully orchestral soundtrack  And the reviews for this masterpiece of a game are going down because some Russians got salty over the translations being delayed a bit. This game lost it's Overwhelmingly Positive rating simply because they didn't manage to translate all of the 80,000 or so lines of dialogue in time for the release. Seriously.  EDIT: To everyone asking, the game is FULLY voice acted, every NPC, no matter how insignificant has a voice. That is somewhere in the area of 80,000 voices lines, where a lot had to be recorded 8 times for each one of the player voices."
1,Rojigami,214,690,17,"October 25, 2017",Recommended,237.1,"This game is the greatest middle finger to all the money-grubbing AAA games out there. It's reasonably priced, it's intelligent, it gives freedom to your epic adventure, and last but not least, this game doesn't have any loot-box and micro-transaction nonsense!  Great work Larian Studios. This game will go down as a cult classic!!"
2,Lost Sinner,79,518,12,"August 15, 2017",Recommended,"2,780.1","♦ One of the best cRPG out there, if you are a fan of roleplaying games, this is definitely a must buy. For those who never play thier first game, no worries, although they take places in a same universe, each has a standalone story. This one starts thousand years after the first one so you are not missing anything.  ♦ One of best thing about DOS 2 is it gameplay. It's turn-based, slow-paced but really interactive with many different elemental combinations, cool interactions between each abilities and your surrounding environmental even statuses are interesting.   For some examples you can create some nasty chain explosive reactions with a combo of Fire and Poison, any kind of liquid (water/blood/poison/...) left on the battleground can reacted to Air turning it into a pool of Electricity deal damage and stun anyone in it.    Buffs/debuffs status usually do more than one thing and may interact with eachother, Stone Armor not only increase your physical armor but also stop you from bleeding/burning because you are solid rock. Peace Of Mind is the kind of ability that let you see a bigger pictures, it provides stats buff and cure Blindness BUT also remove frenzy status Rage, because the target have become more wise so no more bold actions. Rage on the otherhand is also another status which increase damage output but at a great cost of defense down.   Surrounding environmental also plays a great part in your game, say if someone go invisible and there is happen to be raining, that sneaky guy will be revealed because he's wet. And because water react violently with electricity, he will be taking increased Air damage but will take less damage if you throw a fireball at him. Walking through frozen ground and you may trip and get knocked down. Standing on high ground will make your spells/abilities/items reach further with increased damage. ♦ Talents in game open up your playstyles depend on what you pick. Lone Wolf or One Man Army does what it says for who want to go solo, Leech turn you into a vampire allowing you to heal when standing near blood or Zombie make Poison heal you instead but normal healing will damage you. Because the game is classless , you can be anyone , mix and match anything you like, you may be born a warrior but dream to be a mage, go learn some magic and become a battlemage. Who says warrior can't be sneaky, go ahead and get yourself some rogue abilities...  ♦ Divinity Original Sin 2 also offer you really great roleplaying experience, it has a great balance between combat and talking with rich dialogues and occasional silly humors. You can play as different races: Human , Elf , Dwarf , Undead and Lizard..yeah thats' right, you can become a Lizard that spits out Fire. Each races have different racial skill and special power, NPCs may also react/talk differently to you depend on your race. There are also different original characters ingame who have thier own story, goals and personalites for you to play, but if you want to create your own character, the game also offer many different origins which called tags: Soldier, Scholar, Outlaw,..etc which plays a part in dialogue. The Origins will remain in your game as companion and you can have different perspective on them through dialogues/questline which is really cool imo,  there is also a relationship system ingame (not fully included in EA , will be in full game) which can create intense rivalry, friendship, enmity and romance!  ♦ Visually, the game looks great, it's colorful most of the times and can be dark when needed to be, infact the DOS 2 is meant to be darker and much more focused than the previous one. Having finished Act 1 in EA, there are no fetch quests and unrelated to the storyline, all of them is connected one way or another, each tell you a story about the game's world and ultimately leading to a bigger picture. You can finish quests in different ways , any path is a progression, you'll never feel getting stuck, there are always different paths to take, things to do. Oh a maze, i'm not in the mood to solve puzzle atm, let's jump/fly through it, dont have wings? Look around, there's maybe some other hidden paths/shortcut or go do some questline maybe some of them will shed some lights of the Maze making it easier to go through.  ♦ Crafting is in game (duh..! obviously, it's an cprg game) and it's RICH. Just look up the crafting list in DOS 1, and  before there were just a combination of two items, in DOS 2 you can have a combination of total 5 items. Here comes the great part, you can craft new skills by combining books of different schools. You can turn a normal rain into a mean blood storm. Mixing a Pryo spell with Necromancy, you can make corpses explode dealing massive damage to nearby targets as if you cutting thier buddies down wasn't enough..  ♦ There are alot more cool features ingame but i won't include them all in this small review. So i'll add one more thing that may get some people excited: There will be a Game Master Mode! which have up to 5 players in total which include 4 main players and 1 GM. Allowing you to create your own worlds and adventure with friends, the devs also offer alot of tools for easier time making your own dungeon, you can control anything, the stats, the weather, music, dialouges, events,..etc and you can even do it on the fly! You can take a quick look of the mode here (a GM Mode game hosted by Matt Mercer)  ♦ If you are interested in some gameplays, feel free to check my videos: Honour Mode Walkthrough "
3,Wren,380,272,9,January 4,Recommended,100.6,"Mind = Blown Divinity: Original Sin 2 is easily my top game of 2017, and probably up there in my list of most favorite games of all time. My mind was completely blown every step of the way through this fantastic journey, start to finish.   Positives+ You do 𝘯𝘰𝘵 need to play its predecessor to understand what's going on in this title. + That voice acting. Every line. Every banter. Even the narration when nothing needs to be said between characters. It's fantastic. + A beautifully detailed, living world. You can see how much love and work when into this. So much to explore, so much to see. So many little secrets tucked away here and there. Not to mention while in combat, every single turn needs to be thought out depending on the enviroment around you.  + The assortment of items, weapons and armor is definitely not lacking.  + The ability to freely make your own ""class"" for yourself and your companions. Mix and match whatever skills you want. Whatever suits your playstyle. If you want a Skeleton guy to be your main healer with Necromancy, then do it! + I finished the game on the easiest difficulty in about 85-90 hours, give or take. And that's without finishing all the side quests or companion quests. The amount of content stuffed into this game will leave you plenty to do. + Co-op. Yes. You can play the entire game start to finish with a friend, with a few friends, with strangers. It doesn't matter.  + Dungeon Master mode. Does creating entire campaigns like Dungeons and Dragons appeal to you? Then heck yes! I never really took much time to dabble in it, but I can see the appeal to it. + Replayability. This is huge for me. So many choices that will leave you wondering ""what if I had done this differently?""   Negatives- It's been a fair bit since I played, but I had an issue finishing a companion quest that was tied into the same NPC as another companion I had. Once completed, one companion was stuck and could not progress. I ended up finishing the game without completing it. - A few bugs here and there but nothing gamebreaking. Most notably in ""The Arx"". There was one house with locked doors in which you could run right through them. - I noticed here and there a fair bit of an FPS drop in combat when my screen is exploding with spell effects.  Divinity: Original Sin 2 is unforgiving, doesn't coddle and definitely doesn't hold your hand, but taking the time to learn the combat system and all the little bits and pieces is worth every penny from your wallet and every second of your time."
4,ProfessorButts,111,489,9,"June 5, 2017",Recommended,165.6,"You will love this game if... - You like games that don't hold your hand - You like games that allow you freedom to customise your characters and experiences - You like games that TRULY reward exploration and investigation *Legit, if you don't sit there scrolling over the map looking for hidden chests, ladders, ledges, etc, you're doing it wrong* - You like high strategy, turn based combat that rewards forward thinking and planning - You like finding, using, selling or collecting loot - You have 1 or more friends that will play with you. This game shines in multiplayer  The handful of little annoying bugs and glitches are completely and utterly outweighed by how captivating and enthralling this game is... And it's still in Early Access... I see a lot of complaints that the story isn't long enough, or really focusing on the bugs, lets get real.  Bugs: - Sometimes your helmet will blink and flicker a bit - Sometimes your characters won't be within range, or have line of sight on a target they clearly should - Accuracy percentage seems to be a bit off, 80% chance to hit is more like 30%; anything under 90% is trouble That's... About it...  Story is too short? Well then play the rest of the game kid. You can speed run the ""story"" in like 20 minutes if you wanted, the real fun comes from exploring the world and finding everything else there is to do. I honestly can't believe how good this game is for an EA release and I can't wait for the full release come September. Could not recommend highly enough.  Things I would like to see in future: - More races. - More in depth customisation options for spells and abilities. Think Champions Online or the Oblivion Spell-Creation. (asking for a lot, I know) - A little control over what armour looks like on your character.  - More spells, more synergy between spells. This is already great, but why stop at great! The more points I list, the more I realise I'm just asking for more of the game. Give me more of the game mate."
5,Purrmaid,650,401,5,"November 22, 2017",Recommended,149.3,"It seems I've never written a review for D:OS2, and with the Steam Awards wanting us to update a review, I might as well!  Let me start by stating that Divinity: Original Sin 2 is my all time favorite game. I adored the first one. I'm worshippping the second.  This isn't a game that'll hold your hand, this isn't a game that's easy and laid back. This is the game that throws you in the middle of a world and tells you to figure it out.   It has multiple difficulty settings, so if tactical turnbased combat isn't your strongest suit there ARE easier modes for you! But the harsh combat isn't the only thing that makes this game hard. It's the quests, the world, there is NO handholding. You got to figure out what to do, you got to figure out which quest to solve and focus on. And boy are there many quests to focus on!  Some seem absolutely random, some seem like just a typical sidequest kind of job that ends up being the key ingredient in solving the big mystery! I love that, I love that the first act has you stuck on an island, a jail, and your job is to break out. And how would one do this? There isn't just one way, or two, or three. There are more than that. Way more. And it's up to you to figure out the way.   There are five races, human, dwarf, elf, lizard, and undead. Each brings with their own talents and experience in the game. You might have trouble with certain quests because they hate your race, you might need to find another way into a town because they don't like dwarves. It's extremely immersive, and playing it as a coop makes it even so.   I'm not sure I have words to describe to you how amazing this game is. I like difficult games, I played this on Tactical, which is hard, and on some boss fights me and my coop partner would sit here for two hours. Reloading. Repositioning. Changing skills. Reloading. over and over untill we finally managed to beat said boss. It was one of the most amazing experiences I've had in gaming all year. Just that little bit of having to figure out how something works.  There are Character Tags and Talents that you can choose that really makes this into an immersive rpg. Pet Pal allows you to talk to animals. That sad dog over there, cheer him up and he'll help you. That nasty fire elemental? Guess what! She needs your help! You can have a talent that makes you stink, and people dislike you because of it.   Larian Studios is a dev team to follow. I cannot wait to see what comes next. (Voice acting wasn't in the original budget. There was partial voice acting, but somehow they managed to make the entire game voice acted, without starting another kickstarter and without pushing the game back a few months. It was a surprise untill launch and I give them major props for doing this)"
6,PixelGrotto,150,144,39,March 2,Recommended,136.9,"Divinity: Original Sin 2 is like playing a very enthusiastic Dungeon Master's homebrew campaign. Said DM really fell in love with the cosmology and deities section of the Dungeon Master's Guide as well as the idea of creating an epic, REALLY LONG arc where his players eventually achieve godhood. Mr. DM also put an awful lot of time into fleshing out his world and making sure you know that HIS elves are DIFFERENT (they EAT people and get their MEMORIES, see), though for some reason he decided to keep his dwarves Scottish.  This DM is not perfect and has his faults. For one, he really loves throwing environmental effects all over the battlefield to the point of it becoming annoying. Fire spreads 50 feet in an arc! Now ice shoots out over the fire! Now smoke and lighting and tentacles spread atop the fire and ice! Yeah! Near the end of the campaign, his planning starts to slip, both in combat design and in lore. For instance, he offers his players a variety of different endings to their grand adventure, but none of them are all that great, and one gets the feeling that he randomly chose the final boss by just flipping through the Monster Manual with the intent of picking a Challenge Rating 30 beastie just to tell his other DM friends that ""I PUT MY PLAYERS UP AGAINST THIS GUY ONCE AND THEY KIND OF SURVIVED!""   After playing for nearly 140 hours, though, none of his players can say it wasn't an epic time at the table. They'll probably be back for more.  BTW, Mr. DM - Lohse was the best character you created."
7,Genky,186,175,0,"February 5, 2017",Recommended,131.4,"What can I say ... This is Belgium's jewel in the gaming industry. The kind of game developer we need more of.  More content, more polished and more fun than any triple A game developer will give you, at 2/3 the price and no hundreds of holes to add paid content later. Even in the Early Access phase this is already more polished than most games are 3 months after official launch.  The game itself: It's the original + improved and better in every single way. Graphics look great and the engine is very well optimized (already). The combat and progression system is very well done and fun. Multiplayer even better integrated than the original. Storyline and characters are interesting and well written. The music, I absolutely love it. Affordable.  Even if you fear the Early Access tag, just buy this if you're into this type of games at all, you won't be disappointed and you'll actually be supporting a developer that delivers and makes games for the gamers, not for mass revenue. (Of course they're a business in it for profit too, but there's a difference between 45 euro for a full game and 60 euro for a game with 10 strategically placed holes for paid DLC, pushed into release with game breaking bugs. Larian Studios actually ditched their publisher and switched to crowd funding because they forced them to make and launch the game the way they didn't want it, that should tell you enough.)  Larian Studios, as a Belgian, I can say you make us proud. Please keep doing what you're doing, never succumb to the attitude most major developers and publishers have, it'd be a huge loss in the game industry."
8,VAC in time by Hubert Lewis,229,395,24,January 22,Recommended,49.9,Blah blah blah best RPG literally of the past 10 years blah blah blah.  Here's What Matters. You can literally do anything and the game is prepared for all of it. Pay Full Price. Games like this don't happen enough.
9,Surplus Cyborg,103,"1,001","1,540","November 16, 2017",Recommended,91.6,Talked to a chicken that claimed he was a mighty wizard. Called him a liar. The chicken teleported me to the other side of the continent. Had to walk back to the rest of my party. Serves me right for doubting the mighty magic chicken. This game is awsome.
10,Zorao,340,242,5,"November 4, 2017",Recommended,80.6,"This game is a masterpiece. Easily one of the best games I ever played in my life.   The gear is very rewarding, you notice your characters actually develop and become way stronger with each level and each new gear equipment.   The story is rich and the voice acting makes it really helpful if you don't like reading dialogues. You can play the game multiple times and you would have a different experience each time you play it.   Try to get some friends to play with you, they can either help you or turn against you. For example your friend could tell the guards that you stole something and they will put you in jail!. or you can make your friend distract traders and you pickpocket them.   I really recommend this game."
11,Zahbuhdoo,459,269,2,"September 20, 2017",Recommended,178.7,"If you like turn-based RPG's with lots of customization and a good story to put along with them, do yourself a favor and buy this game. This game will leave you wanting more every time you put it down. Choices matter. Characters are interesting. Combat is fluid. This is one of the better, if not best, Turn-Based RPG's out there.   Side Note: Larian Studios has shown how much they care about the content they put out by giving you the best they can offer. Did you notice the price tag isn't $60? Did you notice the Divine Edition is only $15 but not at all game-changing or content locking from the base game? Did you notice the Game Master Mode wasn't a purchasable DLC? That is humility right there. They aren't trying to squeeze every last person for some money. They are looking to create quality content so that we can enjoy it at, for what you're buying, an extremely generous price. They knew the fan-base and what people wanted and how bad they wanted it. They still did not take advantage of us. Larian Studios has earned my undying support."
12,Dracknov,153,518,7,"September 23, 2017",Recommended,271.9,"I was tired of games that only tests your reaction skill. I was tired of games that say it's 60 dollars, only to have randomized loot boxes or micro-transaction implemented later in time. I was tired of games that were advertised to be wide as an ocean but ended up being shallow like a puddle.   Then Divinity Original Sin 2 came out. Each encounter is well executed and designed flawlessly. Enemy design  is varied and leaves my friend and I saying ""WTF is that!?"" often. Every time my friend finds some epic loot, we cannot wait to identify it to see who can make use of the item. Quests are a joy to do and often leads you to find more quests that's filled with important decision making. Every choice you make has an impact on the world and I have been sent to jail multiple times for making the wrong decision. For $44.99 you are not buying a game but an experience. An experience to truly go on an epic adventure. Fights are never easy but once you learn the satisfaction of besting the enemy combatant that you failed to take down multiple times, you are left leaving for more glory. (Currently playing on Tactician Mode)   I am not sure if anyone is going to read this review since this is my very first review with a positive rating (My other review is for Fallout 4 CREATION CLUB so you already know what rating I gave) but if you are looking for a game with challenge, depth, and quality give this game a try. I have been playing this game for over 102 hours and I have a feeling that this is only the beginning."
