,review,post_date,useful
0,"Let's see: -Game releases in Early Access with a lot of promise -As it does Larian constantly outdo them selves with updates -They vastly increase the complexity of the AI -Improve the progression in several ways -Give us two well developed and deep extra skill trees -Create a truly grand undead race with interesting mechanics -AGAINST ALL ODD include full voice acting for a game with the amount of dialogue -And include a fully orchestral soundtrack And the reviews for this masterpiece of a game are going down because some Russians got salty over the translations being delayed a bit. This game lost it's Overwhelmingly Positive rating simply because they didn't manage to translate all of the 80,000 or so lines of dialogue in time for the release. Seriously. EDIT: To everyone asking, the game is FULLY voice acted, every NPC, no matter how insignificant has a voice. That is somewhere in the area of 80,000 voices lines, where a lot had to be recorded 8 times for each one of the player voices.","September 14, 2017","2,002 people found this review helpful
32 people found this review funny"
1,Blah blah blah best RPG literally of the past 10 years blah blah blah. Here's What Matters. You can literally do anything and the game is prepared for all of it. Pay Full Price. Games like this don't happen enough.,January 22,"395 people found this review helpful
24 people found this review funny"
2,"This game is the greatest middle finger to all the money-grubbing AAA games out there. It's reasonably priced, it's intelligent, it gives freedom to your epic adventure, and last but not least, this game doesn't have any loot-box and micro-transaction nonsense! Great work Larian Studios. This game will go down as a cult classic!!","October 25, 2017","689 people found this review helpful
17 people found this review funny"
3,"♦ One of the best cRPG out there, if you are a fan of roleplaying games, this is definitely a must buy. For those who never play thier first game, no worries, although they take places in a same universe, each has a standalone story. This one starts thousand years after the first one so you are not missing anything. ♦ One of best thing about DOS 2 is it gameplay. It's turn-based, slow-paced but really interactive with many different elemental combinations, cool interactions between each abilities and your surrounding environmental even statuses are interesting. For some examples you can create some nasty chain explosive reactions with a combo of Fire and Poison, any kind of liquid (water/blood/poison/...) left on the battleground can reacted to Air turning it into a pool of Electricity deal damage and stun anyone in it. Lone Wolf or One Man Army does what it says for who want to go solo, Leech turn you into a vampire allowing you to heal when standing near blood or Zombie make Poison heal you instead but normal healing will damage you. Because the game is classless , you can be anyone , mix and match anything you like, you may be born a warrior but dream to be a mage, go learn some magic and become a battlemage. Who says warrior can't be sneaky, go ahead and get yourself some rogue abilities... it has a great balance between combat and talking with rich dialogues and occasional silly humors. You can play as different races: Human , Elf , Dwarf , Undead and Lizard..yeah thats' right, you can become a Lizard that spits out Fire. Each races have different racial skill and special power, NPCs may also react/talk differently to you depend on your race. There are also different original characters ingame who have thier own story, goals and personalites for you to play, but if you want to create your own character, the game also offer many different origins which called tags: Soldier, Scholar, Outlaw,..etc which plays a part in dialogue. The Origins will remain in your game as companion and you can have different perspective on them through dialogues/questline which is really cool imo, there is also a relationship system ingame (not fully included in EA , will be in full game) which can create intense rivalry, friendship, enmity and romance! Having finished Act 1 in EA, there are no fetch quests and unrelated to the storyline, all of them is connected one way or another, each tell you a story about the game's world and ultimately leading to a bigger picture. You can finish quests in different ways , any path is a progression, you'll never feel getting stuck, there are always different paths to take, things to do. Oh a maze, i'm not in the mood to solve puzzle atm, let's jump/fly through it, dont have wings? Look around, there's maybe some other hidden paths/shortcut or go do some questline maybe some of them will shed some lights of the Maze making it easier to go through. Just look up the crafting list in DOS 1, and before there were just a combination of two items, in DOS 2 you can have a combination of total 5 items. Here comes the great part, you can craft new skills by combining books of different schools. You can turn a normal rain into a mean blood storm. Mixing a Pryo spell with Necromancy, you can make corpses explode dealing massive damage to nearby targets as if you cutting thier buddies down wasn't enough.. which have up to 5 players in total which include 4 main players and 1 GM. Allowing you to create your own worlds and adventure with friends, the devs also offer alot of tools for easier time making your own dungeon, you can control anything, the stats, the weather, music, dialouges, events,..etc and you can even do it on the fly! You can take a quick look of the mode (a GM Mode game hosted by Matt Mercer)","August 15, 2017","518 people found this review helpful
12 people found this review funny"
4,"EARLY ACCESS REVIEW You will love this game if... - You like games that don't hold your hand - You like games that allow you freedom to customise your characters and experiences - You like games that TRULY reward exploration and investigation *Legit, if you don't sit there scrolling over the map looking for hidden chests, ladders, ledges, etc, you're doing it wrong* - You like high strategy, turn based combat that rewards forward thinking and planning - You like finding, using, selling or collecting loot - You have 1 or more friends that will play with you. This game shines in multiplayer The handful of little annoying bugs and glitches are completely and utterly outweighed by how captivating and enthralling this game is... And it's still in Early Access... I see a lot of complaints that the story isn't long enough, or really focusing on the bugs, lets get real. Bugs: - Sometimes your helmet will blink and flicker a bit - Sometimes your characters won't be within range, or have line of sight on a target they clearly should - Accuracy percentage seems to be a bit off, 80% chance to hit is more like 30%; anything under 90% is trouble That's... About it... Story is too short? Well then play the rest of the game kid. You can speed run the ""story"" in like 20 minutes if you wanted, the real fun comes from exploring the world and finding everything else there is to do. I honestly can't believe how good this game is for an EA release and I can't wait for the full release come September. Could not recommend highly enough. Things I would like to see in future: - More races. - More in depth customisation options for spells and abilities. Think Champions Online or the Oblivion Spell-Creation. (asking for a lot, I know) - A little control over what armour looks like on your character. - More spells, more synergy between spells. This is already great, but why stop at great! The more points I list, the more I realise I'm just asking for more of the game. Give me more of the game mate.","June 5, 2017","489 people found this review helpful
9 people found this review funny"
5,"Divinity: Original Sin 2 is like playing a very enthusiastic Dungeon Master's homebrew campaign. Said DM really fell in love with the cosmology and deities section of the Dungeon Master's Guide as well as the idea of creating an epic, REALLY LONG arc where his players eventually achieve godhood. Mr. DM also put an awful lot of time into fleshing out his world and making sure you know that HIS elves are DIFFERENT (they EAT people and get their MEMORIES, see), though for some reason he decided to keep his dwarves Scottish. This DM is not perfect and has his faults. For one, he really loves throwing environmental effects all over the battlefield to the point of it becoming annoying. Fire spreads 50 feet in an arc! Now ice shoots out over the fire! Now smoke and lighting and tentacles spread atop the fire and ice! Yeah! Near the end of the campaign, his planning starts to slip, both in combat design and in lore. For instance, he offers his players a variety of different endings to their grand adventure, but none of them are all that great, and one gets the feeling that he randomly chose the final boss by just flipping through the Monster Manual with the intent of picking a Challenge Rating 30 beastie just to tell his other DM friends that ""I PUT MY PLAYERS UP AGAINST THIS GUY ONCE AND THEY KIND OF SURVIVED!"" After playing for nearly 140 hours, though, none of his players can say it wasn't an epic time at the table. They'll probably be back for more. BTW, Mr. DM - Lohse was the best character you created.",March 2,"144 people found this review helpful
39 people found this review funny"
6,Talked to a chicken that claimed he was a mighty wizard. Called him a liar. The chicken teleported me to the other side of the continent. Had to walk back to the rest of my party. Serves me right for doubting the mighty magic chicken. This game is awsome.,"November 16, 2017","1,001 people found this review helpful
1,535 people found this review funny"
7,"This game is a masterpiece. Easily one of the best games I ever played in my life. The gear is very rewarding, you notice your characters actually develop and become way stronger with each level and each new gear equipment. The story is rich and the voice acting makes it really helpful if you don't like reading dialogues. You can play the game multiple times and you would have a different experience each time you play it. Try to get some friends to play with you, they can either help you or turn against you. For example your friend could tell the guards that you stole something and they will put you in jail!. or you can make your friend distract traders and you pickpocket them. I really recommend this game.","November 4, 2017","242 people found this review helpful
5 people found this review funny"
8,"I was tired of games that only tests your reaction skill. I was tired of games that say it's 60 dollars, only to have randomized loot boxes or micro-transaction implemented later in time. I was tired of games that were advertised to be wide as an ocean but ended up being shallow like a puddle. Then Divinity Original Sin 2 came out. Each encounter is well executed and designed flawlessly. Enemy design is varied and leaves my friend and I saying ""WTF is that!?"" often. Every time my friend finds some epic loot, we cannot wait to identify it to see who can make use of the item. Quests are a joy to do and often leads you to find more quests that's filled with important decision making. Every choice you make has an impact on the world and I have been sent to jail multiple times for making the wrong decision. For $44.99 you are not buying a game but an experience. An experience to truly go on an epic adventure. Fights are never easy but once you learn the satisfaction of besting the enemy combatant that you failed to take down multiple times, you are left leaving for more glory. (Currently playing on Tactician Mode) I am not sure if anyone is going to read this review since this is my very first review with a positive rating (My other review is for Fallout 4 CREATION CLUB so you already know what rating I gave) but if you are looking for a game with challenge, depth, and quality give this game a try. I have been playing this game for over 102 hours and I have a feeling that this is only the beginning.","September 23, 2017","518 people found this review helpful
7 people found this review funny"
9,"I'm 48. I've been playing pc games since before Zork. This is the best RPG I've ever played. This is what, as a kid, I had always hoped these games would turn into. Great Job!!!! Great game.","September 15, 2017","1,671 people found this review helpful
50 people found this review funny"
