user_name,user_product,helpful,funny,post_date,recommend_or_not,game_time,review
Ferronic,135,5,1,2016/09/15,Recommended,7.4,beautiful especially early access play great look amaze play least well original performance wise scenery look even good say nothing expanded character creator briefly explore starter area early access act far gameplay writing phenomenal without doubt best product ever kickstartered i'm really look forward see full release additional feature like undead playable race cannot wait see become
Combocookie,285,0,0,2016/09/15,Recommended,56.9,devine
saturn missiles,183,253,2,2016/09/15,Recommended,341.5,simply put divinity original sin expands best idea first take complete 180 tone deliver much darker adult experience compare first one notable change immediately realize character creation begin race tag origin story complete stat revamp give new level depth character creation origin story presets customizable deliver unique experience notable origin story character interaction even choose create find interact around world recruit important figure lore origin story surface level seem gimmicky allow whole new level replayability combination tag system tag system allow acquire new tag effect quest dialogue progress assign custom character character creation origin story character tag preset well brief synopsis lore however change character creation soon get combat quickly notice much change divinity original sin keep basic first intact action point recieved complete overhaul streamline process choose action new system action point total action point start encounter skill cost 1-2 action point may seem cater casual audience first new skill accompany revamp allow level complexity combat never see divinity series new skill introduce second ambitious creative innovative first even start acquire interesting ability use control battlefield new target system provide os2 give sense clarity lacking first height advantage disadvantage mean position matter ever addition surface system first fire poison poison cloud static cloud electrify water etc surface bless curse interesting variation choice combat example fire harmful team bless it'll apply heal every turn prevent member within freeze campaign absolutely astound quality length first full playthrough take roughly 80 hour even without dozen sidequests matter choice origin character custom find campaign deeply satisfy however note developer mean play origin story character show origin character least half dozen unique encounter still engage playing custom character origin story really allow good capacity role playing interaction world steam award 2016 pick astounding staggering amount interaction even alpha overwhelming divinity original sin could well shape year 2017
Shadowblazen,55,44,23,2016/09/15,Not Recommended,3.1,initial introduction lack direction goal unclear suppose jump dialogue compelling engage plain text box voice narration tutorial battle really explain combat system there's enough weak enemy start area practice combat new player find sufficient scaffold help learn experience engage enough make want continue play
Grenaderade,344,3,0,2016/09/15,Recommended,225.5,love far
peaces4efnet,42,8,5,2016/09/15,Recommended,"1,519.3",like first one like beta though finish like first one taste game
KelseyGG,53,1,0,2016/09/15,Recommended,4.2,edit 10 sorry post help review board thought problem shoulnt problem graphic card okay anyways play pc say simular original sin slightly good start everyting else much improve player coop nice want rich story origin caracters make feel mre attach als provide somewhat replay value although itr early access consider complete problem lot rrom content improvement would nice however add voiceover good soundtrack please help im try run laptop intergrated graphic well nvidea 840m graphic card load nvidea card start screen go black hear music see curser black screen ive google every fix nothing work start windowed work ive come conclusion card isnt support dont understand someone please help ive try everthing want play thank advance please help
CyborgJiro,254,3,0,2016/09/15,Recommended,128.5,likely favorite style rpg ever play enjoyable alone absolutely amaze friend new free update come soon could ever dislike like type
Alligatorcrunch,170,3,0,2016/09/15,Recommended,130.5,go phenomenal graphic fantastic combat kind challenge party put together well far feel like go goty candidate great job larian studio
J Hawk,154,5,0,2016/09/15,Recommended,131.3,love
1Mr.Guru,252,1,4,2016/09/15,Recommended,35.1,run run run hole walk foot another hole oh look hole need hole hole wait cant shovel shovel shovel senpia wont notice needsshovelgodroom amazing alpha beta need shovel like everywhere need shovel shovel shovel golden scoped red dot silence shovel shovelsshovelsshovelsshovelsshovels
Gasarakii,197,0,0,2016/09/15,Recommended,50.7,kickstarer backer larian agian i'm impress alpha far great buy i'll add soon
Kozzy - Red Dead Redemption 2!,590,15,0,2016/09/15,Recommended,194.8,divinity original sin good divinity original sin one best rpg's year generation time writing huge improvement voice acting brilliant strategic combat even good blast solo friend ton customization many way go mission many cool skill play amaze addict modern roleplay since fallout new vega witcher sure love divinity original sin dragon age origins pillar eternity etc another level personally every aspect shin big complaint improve go around larian deserve ton respect love make great epic roleplay ton replay value play many hour game quality come often go support larian buy wonderful get ready wonderful adventure hand goty 2017 enjoyed alot game year nothing close total package divinity original sin offer enjoy divinity original sin pick asap like original sin still good chance fall love sequel everything improve well do larian well do 170 hour later one best rpgs modern time also ever real joy play tell developer put ton effort rpg devs take note best turnbased combat much improve write wonderful world design ton fun quest challenging dark soul gorgeous art design great play solo best coop friend ever witness rpgs genre grab friend get ready really amazing ride perfect example turn good game's sequel much improve nearly every aspect masterpiece definitve edition come fantastic wonderful job larian give u free enhance edition year later last year goty get well somehow can't wait see larian next fire lately
ReaperX30,311,13,1,2016/09/15,Recommended,14.0,back first one kicksarter own pc xbox one already sell sequel even alpha version moment already show great final pc handle medium still really pretty run smooth first thing hit though magical soundtrack people music really knock park one new feature origin story basically premade character independant questlines mean play someone choose different character thing i'm big fan fixed character story one go lohse pretty interest far even choose one origin story still customize character's hair hair color skin color facetype class play lot i'm already hook still alpha well i've see final state larian studio show make quality game different highly recommend
LugdunonTG,750,16,0,2016/09/15,Recommended,91.7,love divinity original sin co-op single player first time play feeling realise nearly anything divinity original sin carry legacy incredibly well already consider early state short time i've play meet host weird interesting character stumble upon various quest plain site way love rpg's reward explore take risk odds seem mean long use environment advantage blood puddle floor become electrified shock people contaminate poison people use fire cause poison combust wonderful feel like improve original every way finish early version contain bug obviously miss many aspect wanna mess around build new pvp mode good time jump long realise fully flesh yet high recommendation rpg fan https youtu lxvdyil1imi here's gameplay wish see may consider make series enough interest otherwise check back every update
