user_name,user_product,helpful,funny,post_date,recommend_or_not,game_time,review
星钻Yao,793,49,9,12/5/16,Recommended,208.4,这次不是评测 但是这次是发自内心的求中文 thanks make great plz could chinese language support
MetaMusil,12,6,2,12/5/16,Not Recommended,4.5,good story nice play camera mechanic madden
Soy Goy,450,39,1,12/8/16,Recommended,93.4,early access review
lasaramander,67,2,2,12/8/16,Recommended,16.9,fall ice even battle always win
Arendt,85,173,236,12/8/16,Recommended,462.8,post release review nov 23 2017 everything hop simply must play shame divine sebille declare review must share early access review come listen stay awhile lend ear something need hear need play even take day explore rivellon dawn till dusk become source-less husk think i'm do imitating bellagar please put away feather tar one line may i'm eagerly await release day awesome even early access
ToaD,28,0,0,12/10/16,Recommended,139.7,freak awesome awhile since play rpg like much explore love
DoubleP2k,283,6,0,12/12/16,Recommended,153.7,tl dr turn base combat epic way consider possible prior original note play first first great like come one two big note dumb freely respec tactician mode major dissapointment compare tactician mode first predominantly enemy stat buff 50 damage vitality armor that's artificial difficulty play time want challenge overall like lot admit quite love like first
Bob Ross,68,8,0,12/13/16,Recommended,85.9,sequel dope af somewhat short first act take 20 hour complete couldnt figure large party reason think could go player may misunderstand cant wait full release favorite franchise already pros flawless isometric turn base rpg coop graphic nice new skill tree new talent skill point system auto-run click map amazing necessity melee actually compete battle con acquire personality trait conversation go final battle act entirrrelly hard give mob difficulty still beat though player1 play coop gatekeeper player get permission proceed story-lines quest-lines overall love
kingarthurivvi,"1,368",9,1,12/13/16,Not Recommended,229.5,feature local coop like countless others seaking good friend family house look force remove product feature falsely advertised product put discription goal final release wait ever install wait lot long steam wallet money refund back thanks lie
Esonbeard,165,2,2,12/14/16,Recommended,108.1,make human character name jack jack dy terrible fire fight several warrior revive jack somehow still perpetually fire dub jack man fire later adventure jack run serial killer put needle throat serial killer ask would ever want help jack jack look serial killer straight eye literally fire right 10 10 jack legend
Dankilicious123,41,0,0,12/15/16,Recommended,175.9,complete improvement across board already phenomal formula multiple race class freedom choice well graphic retweaked combat make absolute must-buy fan first right first act voice-overs early access dissapointed tad still though i've play early access version already tell go one best isometric party base rpg's year look one best rpg's period currently run early section two character mindblown different playthroughs begin everything race class pick side create various outcome definitely singular way get objective do point game would aspire level do-it-your-way style gameplay would stay take caution turn lack handholding combat incredibly difficult tell little corral path much handle idea like deep rpg's vein old school game baldur's gate pillar eternity neverwinter night original divinity would say purchase right really reason also mention much early access currently want wait till get full finish product would reccomend hold purchase muchso early access currently
Zerqz,178,1,0,12/15/16,Recommended,62.9,best since o many people complain short wonder people realize actually yet note early access store page anyways short surpass os beauty ui amazing writting storyline far cannot wait play full actually release feature implement full add pro con list
kolashes,96,0,0,12/17/16,Recommended,95.3,never super turn base combat come rpgs holy cow game combat much fun beat first time literally wander around aimlessly find stuff kill right play well try online good
Cautious510,538,0,0,12/17/16,Recommended,89.1,intro little slow unguided far point quite sure go progress also able click somewhere map center camera slightly annoy maybe i'm miss something though overall really great far sure prefer dos1 still early access hope faith larian finish product live expectation i'd buy without hesitation like original game like pillar eternity etc
classichomeopathy,27,0,0,12/18/16,Recommended,400.7,begin one best early access like thing change make fun
Tardy Pime,25,15,0,12/19/16,Not Recommended,0.5,expectation local multiplayer advertised reality local single player experience return right spending hour download install move forward steam need start verify tag associate game developer tell anthing purchase smh
Metal Madness,78,0,0,12/20/16,Recommended,72.3,guy support developer seriously great everytime stop playing go right back minute later developer passionate show every little detail write review may bury underneath positive review care buy get taste come wait september full experience
Dervisher,446,1,0,12/21/16,Recommended,29.7,crash get anywhere 1st one great one much like first might worth get moment untill crash error get solution
Chicken Colonel,98,0,0,12/22/16,Recommended,166.6,complete alpha twice best turn-based rpg town
vestul,357,1,0,12/23/16,Recommended,233.7,post-release review update great sequel first tactician mode seem quite bit easy original enough new update addition original make unique still feel smooth first camera fairly close would nice zoom pretty much criticism make hold hand fact opposite near-complete freedom progress want complete ton side quest none ton choice variation skill class approach situation make adventure buy 10 10 year
soma,178,7,2,12/23/16,Recommended,100.8,bought im gay sell weed im addict
Vino,117,2,1,12/24/16,Recommended,126.8,like first love even early access i've put 20 hour even though there's first chapter everything first back improve upon can't wait fully release explore rest world can't recommend enough
Ladet,107,0,0,12/25/16,Recommended,303.7,i'm instantly intrigue story play enhanced edition look foreward play would still like ability zoom well combat overview good interface decide target spell allow target target tile rather physical manifestation enemy
Separomaturi,219,56,3,12/26/16,Recommended,78.4,spend hundred hour play o confidently say os improves nearly every aspect original's gameplay without spoil story far least comment richness added mechanic undeniable feel polish add user interface character creation combat co-op work great even player friend able jump straight-in without issue highly recommend
hawkewardN7,93,2,0,12/26/16,Recommended,87.6,excited come completely really great question eventually dialogue audio lol feel like os without cheese merchent constantly yell ear
info,321,12,30,12/26/16,Not Recommended,87.8,know fight already decide early go motion want kick thing trash pre-rolls combat decision make really impactful pre-rolled fight never hit never hit period matter stats lie hit lie since already pre-rolled hit buy change people challenge try win fight several different way enjoyment terrible decision like lot thing change first female ugly right uglyness fantastic evil white heterosexual men want see beauty america prove want oh wait trump actually get elect hmm whole design team seem liberal sjws matter well comfy little info video see ugnliness create elf cannibal ugly hell play broken creature force play actual animal since play human 2015 right well u elect mr grab em president wrong almost 2017 current year wrong side history fire degenerate hire people see love beauty program nanny rule like pre-rolling combat prevent save scum like version nanny state love much stop buy game's graphic amaze ugly inside
squibtard,47,0,0,12/28/16,Recommended,220.5,enter world do first time instantly blow away graphic new world simply stun artwork amazing alone make instantly appreciate played couple character recognize sort flaw past something unknown drive big part figure go lead great story course great challenging battle one thing know instantly though want damn collar familiarity much crafting many new one spell act little differently wonder would come spell fun original one item absolutely love bedroll one thing alone huge timesaver battle do would take time apply various heals get character bed hope come something repair spend much time repair every single slot character page recommend hell yes however alpha think preview think could become year 2017 pressure devs time get end one frustrate would say wait want alpha test watch develop play go ahead buy one go want fully release anyway
Yogurt Soju,147,9,4,12/28/16,Not Recommended,62,pro people scream agonize pain sleep bed con look 2-3 hour play care story click every single clickable object basically get enclosure save dude get boat that's content like month would wait til full release else ganna get bore never come back full release edit someone right 2-3 hour story play 3-4 hour story play
Bumbles,133,1,0,12/30/16,Recommended,42.9,early access review
Rectangle,71,9,2,12/30/16,Not Recommended,210.3,dialogue currently bad able interact character without refund understand none voice yet write awful like ask parent sound like awful tumblr blog professional put parent even without voice act perfectly fine entire first write well idk awful crap come
vladdy94,191,1,0,1/1/17,Recommended,27.2,decide pick try first one far early access game go one fairly solid interesting thing divinity original sin hold hand quest track do minimaly meaning progress tend make usually feel reward currently voice act within opinion bit downside however take away much experience would highly recommend easily say full version can't come soon enough
