,review,post_date,useful
0,let's see game release early access lot promise larian constantly outdo selves update vastly increase complexity ai improve progression several way give u two well developed deep extra skill tree create truly grand undead race interesting mechanic odd include full voice act game amount dialogue include fully orchestral soundtrack review masterpiece game go russian get salty translation delay bit game lose overwhelmingly positive rating simply manage translate 80 000 line dialogue time release seriously edit everyone ask game fully voice act every npc matter insignificant voice somewhere area 80 000 voice line lot record time one player voice,"September 14, 2017","2,002 people found this review helpful
32 people found this review funny"
1,blah blah blah best rpg literally past 10 year blah blah blah here's matter literally anything game prepare pay full price game like happen enough,January 22,"395 people found this review helpful
24 people found this review funny"
2,game great middle finger money-grubbing aaa game reasonably price intelligent give freedom epic adventure last least game loot-box micro-transaction nonsense great work larian studio game go cult classic,"October 25, 2017","689 people found this review helpful
17 people found this review funny"
3,one best crpg fan roleplay game definitely must buy never play thier first game worry although take place universe standalone story one start thousand year first one miss anything one best thing do gameplay turn-based slow-paced really interactive many different elemental combination cool interaction ability surround environmental even status interest example create nasty chain explosive reaction combo fire poison kind liquid water blood poison leave battleground react air turn pool electricity deal damage stun anyone lone wolf one man army say want go solo leech turn vampire allow heal stand near blood zombie make poison heal instead normal healing damage game classless anyone mix match anything like may bear warrior dream mage go learn magic become battlemage say warrior can't sneaky go ahead get rogue ability great balance combat talk rich dialogue occasional silly humor play different race human elf dwarf undead lizard yeah thats right become lizard spit fire race different racial skill special power npc may also react talk differently depend race also different original character ingame thier story goal personalites play want create character game also offer many different origin call tag soldier scholar outlaw etc play part dialogue origin remain game companion different perspective dialogue questline really cool imo also relationship system ingame fully include ea full game create intense rivalry friendship enmity romance finish act ea fetch quest unrelated storyline connect one way another tell story game's world ultimately lead big picture finish quest different way path progression never feel get stick always different path take thing oh maze i'm mood solve puzzle atm let's jump fly dont wing look around there's maybe hidden path shortcut go questline maybe shed light maze make easy go look craft list do combination two item do combination total item come great part craft new skill combine book different school turn normal rain mean blood storm mix pryo spell necromancy make corps explode deal massive damage nearby target cut thier buddy enough player total include main player gm allow create world adventure friend devs also offer alot tool easy time make dungeon control anything stats weather music dialouges event etc even fly take quick look mode gm mode game host matt mercer,"August 15, 2017","518 people found this review helpful
12 people found this review funny"
4,early access review love game like game hold hand like game allow freedom customise character experience like game truly reward exploration investigation legit sit scroll map look hidden chest ladder ledge etc wrong like high strategy turn base combat reward forward thinking planning like find use selling collect loot friend play game shin multiplayer handful little annoy bug glitch completely utterly outweigh captivating enthral game still early access see lot complaint story long enough really focus bug let get real bug sometimes helmet blink flicker bit sometimes character within range line sight target clearly accuracy percentage seem bite 80 chance hit like 30 anything 90 trouble that's story short well play rest game kid speed run story like 20 minute want real fun come explore world find everything else honestly can't believe good game ea release can't wait full release come september could recommend highly enough thing would like see future race depth customisation option spell ability think champion online oblivion spell-creation ask lot know little control armour look like character spell synergy spell already great stop great point list realise i'm ask game give game mate,"June 5, 2017","489 people found this review helpful
9 people found this review funny"
5,divinity original sin like play enthusiastic dungeon master's homebrew campaign say dm really fell love cosmology deity section dungeon master's guide well idea create epic really long arc player eventually achieve godhood mr dm also put awful lot time flesh world make sure know elf different eat people get memory see though reason decide keep dwarf scottish dm perfect fault one really love throw environmental effect battlefield point become annoy fire spread 50 foot arc ice shoot fire smoke light tentacle spread atop fire ice yeah near end campaign planning start slip combat design lore instance offer player variety different ending grand adventure none great one get feeling randomly choose final bos flip monster manual intent pick challenge rating 30 beastie tell dm friend put player guy kind survive play nearly 140 hour though none player say epic time table they'll probably back btw mr dm lohse best character create,March 2,"144 people found this review helpful
39 people found this review funny"
6,talk chicken claim mighty wizard call liar chicken teleport side continent walk back rest party serf right doubt mighty magic chicken game awsome,"November 16, 2017","1,001 people found this review helpful
1,535 people found this review funny"
7,game masterpiece easily one best game ever play life gear reward notice character actually develop become way strong level new gear equipment story rich voice act make really helpful like read dialogue play game multiple time would different experience time play try get friend play either help turn example friend could tell guard steal something put jail make friend distract trader pickpocket really recommend game,"November 4, 2017","242 people found this review helpful
5 people found this review funny"
8,tire game test reaction skill tire game say 60 dollar randomize loot box micro-transaction implement later time tire game advertise wide ocean end shallow like puddle divinity original sin come encounter well execute design flawlessly enemy design vary leave friend say wtf often every time friend find epic loot cannot wait identify see make use item quest joy often lead find quest that's fill important decision making every choice make impact world send jail multiple time make wrong decision 44 99 buy game experience experience truly go epic adventure fight never easy learn satisfaction best enemy combatant fail take multiple time left leave glory currently play tactician mode sure anyone go read review since first review positive rating review fallout creation club already know rating give look game challenge depth quality give game try play game 102 hour feel beginning,"September 23, 2017","518 people found this review helpful
7 people found this review funny"
9,i'm 48 i've play pc game since zork best rpg i've ever play kid always hop game would turn great job great game,"September 15, 2017","1,671 people found this review helpful
50 people found this review funny"
